InceptModel	InceptPerf	ModelCNN	CNNPerf	PerfDiff
ImageNetInceptionV2	0,45	CNNModel	0	0,45
ImageNetInceptionV2	0,47	CNNModel	0	0,47
ImageNetInceptionV2	0,48	CNNModel	0	0,48
ImageNetInceptionV2	0,52	CNNModel	0	0,52
ImageNetInceptionV2	0,79	CNNModel	0,26	0,53
ImageNetInceptionV2	0,53	CNNModel	0	0,53
ImageNetInceptionV2	0,71	CNNModel	0,17	0,54
ImageNetInceptionV2	0,57	CNNModel	0	0,57
ImageNetInceptionV2	0,59	CNNModel	0	0,59
ImageNetInceptionV2	0,6	CNNModel	0	0,6
ImageNetInceptionV2	0,6	CNNModel	0	0,6
ImageNetInceptionV2	0,61	CNNModel	0	0,61
ImageNetInceptionV2	0,61	CNNModel	0	0,61
ImageNetInceptionV2	0,63	CNNModel	0	0,63
ImageNetInceptionV2	0,65	CNNModel	0	0,65
ImageNetInceptionV2	0,65	CNNModel	0	0,65
ImageNetInceptionV2	0,66	CNNModel	0	0,66
ImageNetInceptionV2	0,66	CNNModel	0	0,66
ImageNetInceptionV2	0,72	CNNModel	0	0,72
ImageNetInceptionV2	0,73	CNNModel	0	0,73
ImageNetInceptionV2	0,74	CNNModel	0	0,74
ImageNetInceptionV2	0,74	CNNModel	0	0,74
ImageNetInceptionV2	0,76	CNNModel	0	0,76
ImageNetInceptionV2	0,77	CNNModel	0	0,77
ImageNetInceptionV2	0,8	CNNModel	0	0,8
ImageNetInceptionV2	0,8	CNNModel	0	0,8
ImageNetInceptionV2	0,8	CNNModel	0	0,8
ImageNetInceptionV2	0,85	CNNModel	0	0,85
ImageNetInceptionV2	0,86	CNNModel	0	0,86
